Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-18,13:21:17.178,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,40,Manual,12,10.92122,-85.79508,
2022-07-18,13:20:44.451,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,41,Manual,12,10.92137,-85.79504,
2022-07-18,13:20:36.270,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92139,-85.79503,
2022-07-18,13:20:28.087,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,39,Manual,12,10.92142,-85.79501,
2022-07-18,13:20:19.907,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92145,-85.79501,
2022-07-18,13:20:11.727,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,42,Manual,12,10.92148,-85.79498,
2022-07-18,13:20:03.548,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,37,Manual,12,10.92151,-85.79498,
2022-07-18,13:19:55.365,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,12,10.92154,-85.79497,
2022-07-18,13:19:39.007,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92156,-85.79494,
2022-07-18,13:19:14.465,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92160,-85.79487,
2022-07-18,13:18:49.924,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,39,Manual,12,10.92165,-85.79480,
2022-07-18,13:18:41.740,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,39,Manual,12,10.92167,-85.79478,
2022-07-18,13:18:33.559,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,37,Manual,12,10.92170,-85.79475,
2022-07-18,13:18:25.377,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,46,Manual,12,10.92173,-85.79474,
2022-07-18,13:18:17.196,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92176,-85.79473,
2022-07-18,13:18:09.015,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,44,Manual,12,10.92179,-85.79471,
2022-07-18,13:18:00.834,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92182,-85.79471,
2022-07-18,13:17:52.654,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,12,10.92184,-85.79470,
2022-07-18,13:17:44.473,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92187,-85.79469,
2022-07-18,13:17:36.292,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,12,10.92190,-85.79469,
2022-07-18,13:17:28.112,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92192,-85.79469,
2022-07-18,13:17:19.933,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92193,-85.79469,
2022-07-18,13:17:11.753,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92193,-85.79469,
2022-07-18,13:17:03.574,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92193,-85.79469,
2022-07-18,13:16:55.394,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,12,10.92194,-85.79469,
2022-07-18,13:16:47.214,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,12,10.92194,-85.79470,
2022-07-18,13:16:39.035,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,12,10.92194,-85.79470,
2022-07-18,13:16:30.856,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,12,10.92194,-85.79470,
2022-07-18,13:16:22.678,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,12,10.92193,-85.79470,
2022-07-18,13:16:06.317,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,12,10.92193,-85.79469,
2022-07-18,13:15:58.138,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,12,10.92192,-85.79469,
2022-07-18,13:15:49.960,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92191,-85.79469,
2022-07-18,13:15:41.781,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92191,-85.79469,
2022-07-18,13:15:33.603,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,12,10.92189,-85.79466,
2022-07-18,13:15:25.424,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,12,10.92188,-85.79466,
2022-07-18,13:15:17.246,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,12,10.92188,-85.79466,
2022-07-18,13:15:09.067,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,12,10.92187,-85.79465,
2022-07-18,13:15:00.888,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,12,10.92187,-85.79465,
2022-07-18,13:14:52.710,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,12,10.92186,-85.79462,
2022-07-18,13:14:44.531,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92185,-85.79462,
2022-07-18,13:14:36.353,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92185,-85.79462,
2022-07-18,13:14:28.173,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,50,Manual,12,10.92186,-85.79462,
2022-07-18,13:14:11.813,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92188,-85.79462,
2022-07-18,13:13:39.092,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,12,10.92195,-85.79465,
2022-07-18,13:13:30.912,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92196,-85.79462,
2022-07-18,13:13:22.731,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92199,-85.79459,
2022-07-18,13:13:14.549,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92201,-85.79458,
2022-07-18,13:12:55.012,1,69,Coded Pinger,A69-1601,62213,,,,,,,,,,43,Manual,12,10.92208,-85.79455,
2022-07-18,13:12:41.826,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92211,-85.79454,
2022-07-18,13:12:33.647,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92211,-85.79454,
2022-07-18,13:12:25.467,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,12,10.92211,-85.79453,
2022-07-18,13:12:17.288,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,12,10.92211,-85.79453,
2022-07-18,13:12:09.109,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92211,-85.79451,
2022-07-18,13:12:00.930,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92211,-85.79449,
2022-07-18,13:11:52.751,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92211,-85.79449,
2022-07-18,13:11:44.572,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92211,-85.79449,
2022-07-18,13:11:36.392,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,12,10.92212,-85.79448,
2022-07-18,13:11:28.218,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,39,Manual,12,10.92212,-85.79446,
2022-07-18,13:11:20.034,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92214,-85.79446,
2022-07-18,13:11:11.852,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,12,10.92214,-85.79446,
2022-07-18,13:11:03.671,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,12,10.92215,-85.79446,
2022-07-18,13:10:55.491,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,47,Manual,12,10.92217,-85.79447,
2022-07-18,13:10:06.409,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,6,10.92229,-85.79441,
2022-07-18,13:09:33.688,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,45,Manual,6,10.92240,-85.79438,
2022-07-18,13:09:25.508,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,49,Manual,6,10.92242,-85.79437,
2022-07-18,13:08:28.244,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,0,10.92257,-85.79433,
2022-07-18,13:08:20.062,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,54,Manual,0,10.92260,-85.79431,
2022-07-18,13:07:39.159,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,56,Manual,0,10.92268,-85.79424,
2022-07-18,13:07:22.797,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,60,Manual,0,10.92273,-85.79423,
2022-07-18,13:07:06.436,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,0,10.92280,-85.79420,
2022-07-18,13:06:58.254,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,51,Manual,0,10.92282,-85.79420,
2022-07-18,13:06:50.073,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,0,10.92285,-85.79420,
2022-07-18,13:06:41.894,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,59,Manual,0,10.92288,-85.79417,
2022-07-18,13:06:33.711,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,57,Manual,0,10.92291,-85.79417,
2022-07-18,13:06:25.532,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,0,10.92295,-85.79416,
2022-07-18,13:06:17.351,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,48,Manual,0,10.92297,-85.79416,
2022-07-18,13:06:00.991,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,0,10.92297,-85.79414,
2022-07-18,13:05:52.811,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,52,Manual,0,10.92298,-85.79413,
2022-07-18,13:02:12.005,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,55,Manual,0,10.92280,-85.79378,
2022-07-18,13:01:39.295,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,0,10.92272,-85.79382,
2022-07-18,13:00:50.204,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,53,Manual,0,10.92289,-85.79385,
