Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2022-07-18,15:33:31.779,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94711,-85.69288,
2022-07-18,15:33:23.600,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94711,-85.69288,
2022-07-18,15:33:17.294,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94711,-85.69289,
2022-07-18,15:33:10.988,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94712,-85.69291,
2022-07-18,15:33:04.681,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94712,-85.69292,
2022-07-18,15:32:58.375,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94712,-85.69292,
2022-07-18,15:32:52.069,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94712,-85.69292,
2022-07-18,15:32:45.763,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,64,Manual,18,10.94712,-85.69292,
2022-07-18,15:32:39.457,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,63,Manual,18,10.94710,-85.69292,
2022-07-18,15:32:33.151,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,63,Manual,18,10.94711,-85.69292,
2022-07-18,15:32:26.845,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,65,Manual,18,10.94711,-85.69292,
2022-07-18,15:32:20.538,1,69,Coded Pinger,A69-1602,65478,,,,,,,,,,60,Manual,18,10.94711,-85.69292,
2022-07-18,15:31:45.764,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,51,Manual,18,10.94712,-85.69289,
2022-07-18,15:31:37.584,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,51,Manual,18,10.94710,-85.69290,
2022-07-18,15:31:29.406,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94710,-85.69290,
2022-07-18,15:31:21.226,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94712,-85.69290,
2022-07-18,15:31:13.048,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94712,-85.69290,
2022-07-18,15:31:04.868,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94711,-85.69290,
2022-07-18,15:30:56.689,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94711,-85.69290,
2022-07-18,15:30:48.510,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94711,-85.69289,
2022-07-18,15:30:40.331,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,50,Manual,18,10.94711,-85.69288,
2022-07-18,15:30:32.151,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,51,Manual,12,10.94712,-85.69288,
2022-07-18,15:30:23.974,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,52,Manual,0,10.94712,-85.69288,
2022-07-18,15:30:15.792,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,51,Manual,0,10.94711,-85.69288,
2022-07-18,15:30:07.615,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,53,Manual,0,10.94711,-85.69288,
2022-07-18,15:29:59.435,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,51,Manual,0,10.94711,-85.69290,
2022-07-18,15:29:51.255,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,56,Manual,0,10.94711,-85.69289,
2022-07-18,15:29:43.077,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,55,Manual,0,10.94711,-85.69291,
2022-07-18,15:29:34.898,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,55,Manual,0,10.94710,-85.69291,
2022-07-18,15:29:26.719,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,55,Manual,0,10.94709,-85.69291,
2022-07-18,15:29:18.538,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,52,Manual,0,10.94708,-85.69290,
2022-07-18,15:29:10.359,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,62,Manual,0,10.94708,-85.69290,
2022-07-18,15:29:02.180,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,61,Manual,48,10.94708,-85.69290,
2022-07-18,15:28:54.001,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,61,Manual,48,10.94709,-85.69289,
2022-07-18,15:28:45.821,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,61,Manual,48,10.94709,-85.69290,
2022-07-18,15:28:37.643,1,69,Coded Pinger,A69-1602,65477,,,,,,,,,,61,Manual,24,10.94709,-85.69289,
