serial_no,datetime,code_space,tag_id,signal_level,latitude,longitude,total_dt,dt,delta_tof,delta_distance,total_distance
VR100,2022-07-18 15:25:18.092,A69-1602,65477,58,10.9471,-85.6929,0.0,0.0,-1.8721099999999993,-2733.280599999999,-2733.280599999999
VR100,2022-07-18 15:25:24.399,A69-1602,65477,60,10.94709,-85.69288,6.307,6.307,-1.87411,-2736.2006,-5469.481199999999
VR100,2022-07-18 15:25:30.704,A69-1602,65477,58,10.94709,-85.69288,12.612,6.305,-1.8721099999999993,-2733.280599999999,-8202.761799999998
VR100,2022-07-18 15:25:37.011,A69-1602,65477,58,10.9471,-85.69288,18.919,6.307,-1.872110000000001,-2733.2806000000014,-10936.0424
VR100,2022-07-18 15:25:43.318,A69-1602,65477,58,10.9471,-85.69288,25.226,6.307,-1.87411,-2736.2006,-13672.243
VR100,2022-07-18 15:25:49.623,A69-1602,65477,58,10.9471,-85.69286,31.531,6.305,-1.8731099999999952,-2734.740599999993,-16406.983599999992
VR100,2022-07-18 15:25:55.929,A69-1602,65477,57,10.9471,-85.69286,37.837,6.306,-1.8721100000000046,-2733.280600000007,-19140.264199999998
VR100,2022-07-18 15:26:02.236,A69-1602,65477,57,10.94711,-85.69287,44.144,6.307,-0.0011099999999952814,-1.6205999999931109,-19141.884799999993
VR100,2022-07-18 15:26:10.414,A69-1602,65477,57,10.94711,-85.69286,52.322,8.178,0.0008900000000000574,1.2994000000000838,-19140.585399999993
VR100,2022-07-18 15:26:18.594,A69-1602,65477,58,10.94711,-85.69286,60.502,8.18,0.0008900000000000574,1.2994000000000838,-19139.285999999993
VR100,2022-07-18 15:26:26.774,A69-1602,65477,58,10.9471,-85.69286,68.682,8.18,0.0018899999999977268,2.759399999996681,-19136.526599999997
VR100,2022-07-18 15:26:34.955,A69-1602,65477,58,10.9471,-85.69285,76.863,8.181,-0.00010999999999761201,-0.16059999999651353,-19136.687199999993
VR100,2022-07-18 15:26:43.134,A69-1602,65477,58,10.9471,-85.69284,85.042,8.179,-0.0011100000000023869,-1.6206000000034848,-19138.307799999995
VR100,2022-07-18 15:26:51.312,A69-1602,65477,57,10.9471,-85.69284,93.22,8.178,0.0008900000000071628,1.2994000000104577,-19137.008399999984
VR100,2022-07-18 15:26:59.492,A69-1602,65477,59,10.9471,-85.69286,101.4,8.18,-0.00011000000001182286,-0.16060000001726138,-19137.169
VR100,2022-07-18 15:27:07.671,A69-1602,65477,59,10.94711,-85.69288,109.579,8.179,-0.001109999999988176,-1.620599999982737,-19138.789599999986
VR100,2022-07-18 15:27:15.849,A69-1602,65477,59,10.94712,-85.69289,117.757,8.178,0.000889999999992952,1.29939999998971,-19137.490199999997
VR100,2022-07-18 15:27:24.029,A69-1602,65477,59,10.94711,-85.69289,125.937,8.18,0.000889999999992952,1.29939999998971,-19136.190800000008
