serial_no,line_counter,datetime,code_space,tag_id,sensor_adc,signal_level,noise_level,channel,latitude,longitude,total_dt,dt,delta_tof,delta_distance,total_distance
,,2022-07-18 06:55:55.253435,,,,,,,,,,,,,
,,2022-07-18 06:56:05.263287,,,,,,,,,,,,,
457049,2,2022-07-18 06:56:09.044000,A69-1602,65477,,68.0,20.5,0,,,0.0,0,0,0,0
457049,3,2022-07-18 06:56:17.223000,A69-1602,65477,,68.5,20.5,0,,,8.179,8.179,-0.00010999999999938836,-0.160599999999107,-0.160599999999107
457049,4,2022-07-18 06:56:25.402000,A69-1602,65477,,70.5,29.0,0,,,16.358,8.179,-0.00010999999999938836,-0.160599999999107,-0.321199999998214
457049,5,2022-07-18 06:56:33.581000,A69-1602,65477,,70.5,22.0,0,,,24.537,8.179,-0.00010999999999938836,-0.160599999999107,-0.48179999999732104
457049,6,2022-07-18 06:56:41.760000,A69-1602,65477,,67.0,21.0,0,,,32.716,8.179,-0.00010999999999938836,-0.160599999999107,-0.642399999996428
457049,7,2022-07-18 06:56:49.939000,A69-1602,65477,,67.0,21.0,0,,,40.895,8.179,-0.00010999999999938836,-0.160599999999107,-0.8029999999955351
457049,8,2022-07-18 06:56:58.118000,A69-1602,65477,,64.5,22.0,0,,,49.074,8.179,-0.00010999999999938836,-0.160599999999107,-0.9635999999946421
457049,9,2022-07-18 06:57:06.297000,A69-1602,65477,,59.0,22.0,0,,,57.253,8.179,-0.00010999999999938836,-0.160599999999107,-1.124199999993749
457049,10,2022-07-18 06:57:14.476000,A69-1602,65477,,58.5,20.5,0,,,65.432,8.179,-0.00010999999999938836,-0.160599999999107,-1.284799999992856
457049,11,2022-07-18 06:57:22.655000,A69-1602,65477,,59.5,21.0,0,,,73.611,8.179,-0.00010999999999938836,-0.160599999999107,-1.4453999999919631
457049,12,2022-07-18 06:57:30.834000,A69-1602,65477,,59.0,22.0,0,,,81.79,8.179,-0.00010999999999938836,-0.160599999999107,-1.6059999999910701
457049,13,2022-07-18 06:57:39.014000,A69-1602,65477,,57.5,26.5,0,,,89.97,8.18,0.0008900000000000574,1.2994000000000838,-0.3065999999909863
457049,14,2022-07-18 06:59:25.343000,A69-1602,65477,,79.0,21.0,0,,,196.299,106.329,0.0005699999999935201,0.8321999999905394,0.5255999999995531
457049,15,2022-07-18 06:59:33.522000,A69-1602,65477,,79.0,21.0,0,,,204.478,8.179,-0.00010999999999938836,-0.160599999999107,0.3650000000004461
457049,16,2022-07-18 06:59:41.701000,A69-1602,65477,,78.5,21.0,0,,,212.657,8.179,-0.00010999999999938836,-0.160599999999107,0.20440000000133907
,,2022-07-18 06:59:52.240395,,,,,,,,,,,,,
,,2022-07-18 07:00:02.243886,,,,,,,,,,,,,
,,2022-07-18 07:00:12.256509,,,,,,,,,,,,,
,,2022-07-18 07:00:22.262460,,,,,,,,,,,,,
,,2022-07-18 07:00:32.265779,,,,,,,,,,,,,
,,2022-07-18 07:00:42.268693,,,,,,,,,,,,,
,,2022-07-18 07:00:52.269188,,,,,,,,,,,,,
,,2022-07-18 07:01:02.283381,,,,,,,,,,,,,
,,2022-07-18 07:01:12.285037,,,,,,,,,,,,,
,,2022-07-18 07:01:22.299656,,,,,,,,,,,,,
,,2022-07-18 07:01:32.301049,,,,,,,,,,,,,
,,2022-07-18 07:01:42.305363,,,,,,,,,,,,,
,,2022-07-18 07:01:52.310245,,,,,,,,,,,,,
,,2022-07-18 07:02:02.315831,,,,,,,,,,,,,
,,2022-07-18 07:02:12.318509,,,,,,,,,,,,,
,,2022-07-18 07:02:22.325907,,,,,,,,,,,,,
,,2022-07-18 07:02:32.329619,,,,,,,,,,,,,
,,2022-07-18 07:02:42.342335,,,,,,,,,,,,,
,,2022-07-18 07:02:52.347197,,,,,,,,,,,,,
,,2022-07-18 07:03:02.360407,,,,,,,,,,,,,
,,2022-07-18 07:03:12.364779,,,,,,,,,,,,,
,,2022-07-18 07:03:22.366923,,,,,,,,,,,,,
,,2022-07-18 07:03:32.390197,,,,,,,,,,,,,
,,2022-07-18 07:03:42.394338,,,,,,,,,,,,,
,,2022-07-18 07:03:52.400916,,,,,,,,,,,,,
,,2022-07-18 07:04:02.412217,,,,,,,,,,,,,
,,2022-07-18 07:04:12.424084,,,,,,,,,,,,,
,,2022-07-18 07:04:22.431518,,,,,,,,,,,,,
,,2022-07-18 07:04:32.436870,,,,,,,,,,,,,
,,2022-07-18 07:04:42.443372,,,,,,,,,,,,,
,,2022-07-18 07:04:52.451252,,,,,,,,,,,,,
,,2022-07-18 07:05:02.471083,,,,,,,,,,,,,
,,2022-07-18 07:05:12.484272,,,,,,,,,,,,,
,,2022-07-18 07:05:22.497377,,,,,,,,,,,,,
,,2022-07-18 07:05:32.500012,,,,,,,,,,,,,
,,2022-07-18 07:05:42.512660,,,,,,,,,,,,,
,,2022-07-18 07:05:52.527285,,,,,,,,,,,,,
,,2022-07-18 07:06:02.530684,,,,,,,,,,,,,
