TRANSMITTER,DETECTEDID,datetime,X,Y,D,latitude,longitude,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-21,A69-9006-7849,2020-06-14 07:00:00,4006.15,6243.55,-0.607,34.410299,-119.560018,3,2.8,,,0.0,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,166,63780.0,420,19.01824951,6/14/2020 7:00,6/14/2020 0:00,June,0,night,night,POINT (-119.560018 34.410299)
2020-21,A69-9006-7849,2020-06-14 07:04:00,4062.25,6364.05,-0.607,34.411385,-119.559408,1,4.3,,,0.0,,In_B Off_B OS1,In_B Off_B OS1,166,63784.0,424,19.0055027,6/14/2020 7:04,6/14/2020 0:04,June,0,night,night,POINT (-119.559408 34.411385)
2020-21,A69-9006-7849,2020-06-14 07:05:00,4064.24,6394.0,-0.607,34.411655,-119.559386,5,3.6,,,0.0,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,166,63785.0,425,19.00227547,6/14/2020 7:05,6/14/2020 0:05,June,0,night,night,POINT (-119.559386 34.411655)
2020-21,A69-9006-7849,2020-06-14 07:06:00,4038.09,6386.6,-0.607,34.411588,-119.559671,2,3.6,,,0.0,,In_A In_B Off_B OS1,In_A In_B Off_B OS1,166,63786.0,426,18.99922371,6/14/2020 7:06,6/14/2020 0:06,June,0,night,night,POINT (-119.559671 34.411588)
2020-21,A69-9006-7849,2020-06-14 07:07:00,3999.62,6382.17,-0.607,34.411548,-119.560089,2,3.8,,,0.0,,In_B In_C Off_B OS1,In_B In_C Off_B OS1,166,63787.0,427,18.99610901,6/14/2020 7:07,6/14/2020 0:07,June,0,night,night,POINT (-119.560089 34.411548)
2020-21,A69-9006-7849,2020-06-14 07:10:00,3945.64,6355.52,-0.607,34.411308,-119.560676,2,3.1,,,0.0,,In_A In_B Off_B OS1,In_A In_B Off_B OS1,166,63790.0,430,18.98706245,6/14/2020 7:10,6/14/2020 0:10,June,0,night,night,POINT (-119.560676 34.411308)
2020-21,A69-9006-7849,2020-06-14 07:11:00,3909.74,6348.03,-0.607,34.411241,-119.561067,2,3.1,,,0.0,,In_A In_B Off_B OS1,In_A In_B Off_B OS1,166,63791.0,431,18.98397636,6/14/2020 7:11,6/14/2020 0:11,June,0,night,night,POINT (-119.561067 34.411241)
2020-21,A69-9006-7849,2020-06-14 07:12:00,3866.51,6358.28,-0.607,34.411333,-119.561537,4,3.0,,,0.0,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B,166,63792.0,432,18.98073959,6/14/2020 7:12,6/14/2020 0:12,June,0,night,night,POINT (-119.561537 34.411333)
2020-21,A69-9006-7849,2020-06-14 07:13:00,3848.4,6364.03,-0.607,34.411385,-119.561734,4,3.0,,,0.0,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B,166,63793.0,433,18.97761917,6/14/2020 7:13,6/14/2020 0:13,June,0,night,night,POINT (-119.561734 34.411385)
2020-21,A69-9006-7849,2020-06-14 07:15:00,3807.49,6360.65,-0.607,34.411354,-119.562179,2,3.2,,,0.0,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,166,63795.0,435,18.97147179,6/14/2020 7:15,6/14/2020 0:15,June,0,night,night,POINT (-119.562179 34.411354)
